name,sweet,acidity,body,tannin,price,abv,type,nation,year
"Franzia, White 3000㎖",SWEET3,ACIDITY2,BODY1,TANNIN1,30000,11,White,USA,0
"Masi, Costasera Amarone",SWEET2,ACIDITY4,BODY5,TANNIN5,275000,15,Red,Italy,2012
Mogen David Concord,SWEET4,ACIDITY1,BODY3,TANNIN3,12000,11,Red,USA,0
Mogen David Blackberry,SWEET4,ACIDITY2,BODY3,TANNIN3,12000,10,Red,USA,0
"Cline, Califonia Zinfandel",SWEET2,ACIDITY2,BODY4,TANNIN3,40000,14,Red,USA,2005
"Tenimenti, Prascati",SWEET1,ACIDITY2,BODY2,TANNIN1,25000,12,White,Italy,2005
"Trimbach, Gewurztraminer Vendanges Tardives",SWEET4,ACIDITY3,BODY4,TANNIN1,90000,13.5,White,France,2015
"J.P.Chenet, Merlot",SWEET2,ACIDITY3,BODY2,TANNIN3,19000,13~14,Red,France,2006
Adoro Semi Sweet Wine,SWEET3,ACIDITY1,BODY3,TANNIN2,20000,11.5,Red,Spain,0
Palacio De Arrieta Tinto Semi Dulce,SWEET3,ACIDITY3,BODY3,TANNIN2,20000,12,Red,Spain,0
Marcel Deiss Huebuhl Premiere Cru,SWEET3,ACIDITY4,BODY4,TANNIN1,152000,13,White,France,2001
"Distell, Obikwa Shiraz",SWEET1,ACIDITY4,BODY2,TANNIN4,13000,13,Red,the Republic of South Africa,2009
"Hess, Mount Veeder Cuvee",SWEET1,ACIDITY5,BODY5,TANNIN5,144000,14~15,Red,USA,2004
"Villard, El Noble Botrytised Sauvignon Blanc",SWEET5,ACIDITY4,BODY2,TANNIN1,44000,13.5,White,Chile,2007
"Mastroberardino, Irpinia Aglianico",SWEET1,ACIDITY2,BODY3,TANNIN4,85000,13~14,Red,Italy,2018
"Navarro Correas, Alegoria Late Harvest",SWEET5,ACIDITY1,BODY2,TANNIN1,80000,10,White,Argentina,2006
Patritzi Piemonte Brachetto,SWEET4,ACIDITY1,BODY4,TANNIN1,64000,7,Sparkling,Italy,0
